Bubblesort,Insertionsort,Selectionsort,Numpysort
314.71,18.84,185.25,5.25
298.02,18.84,184.54,4.29
311.37,17.88,184.54,4.05
303.51,18.12,184.77,3.81
364.78,18.36,184.06,5.72
275.61,18.36,163.32,4.77
335.45,17.88,184.06,4.05
330.92,18.12,184.06,4.05
286.58,15.97,164.75,3.34
270.37,16.45,163.08,3.34
303.75,21.46,229.6,5.72
373.13,21.22,216.25,4.53
258.68,15.97,163.56,3.34
233.65,15.97,178.58,4.29
322.58,19.55,195.26,5.01
309.94,33.86,178.34,3.58
324.73,17.17,178.34,4.29
280.14,17.17,177.86,3.81
288.49,17.17,179.29,3.81
308.51,18.12,190.02,3.81
275.85,18.36,190.73,4.05
290.16,16.93,173.57,3.58
289.68,16.93,176.67,4.05
390.05,19.55,204.09,5.48
385.52,31.47,179.77,3.81
306.13,17.17,179.53,3.58
329.02,17.4,180.01,3.81
329.02,17.4,180.01,3.58
353.1,19.31,196.7,4.77
344.51,18.84,201.46,3.81
